 idx          x          y          w        II          S/N
------------------------------------------------------------
0000 162.094781  18.782343   2.125402  0.797521    15.955500
0001 117.674847 157.124842   2.215083  0.854455    17.094533
0002 174.952988  18.729252   1.560930  0.616088    12.325684
0003   1.403765  57.090580   2.160264  0.743162    14.867961
0004 138.454585   6.262620   1.951717  0.892069    17.847059
0005  14.357500  17.785843   2.852905  0.651832    13.040784
0006 169.035686  56.029202   0.870941  0.849388    16.993176
0007 178.366843 172.517418   2.255770  0.689900    13.802398
0008 191.299761  43.710764   1.862183  0.640988    12.823831
0009   0.835605  47.721101   2.697357  0.592363    11.851021
0010  66.450354 104.225318   1.348176  0.621326    12.430474
0011 161.315899 182.243714   1.747131  0.501351    10.030202
0012 188.506334 196.709778   0.535798  0.531816    10.639698
0013  14.495622  91.823692   2.794141  0.882192    17.649465
0014 147.852894 165.790454   2.077747  0.526413    10.531615
0015 138.307872 108.156783   2.120095  0.633363    12.671286
0016 151.867547 137.175127   2.408789  0.577164    11.546964
0017 184.896228  84.763496   1.141832  0.756983    15.144489
0018 188.988815 189.154708   2.378809  0.738401    14.772728
0019 171.398422 119.875971   2.498809  0.600150    12.006828
